Time_s,Speed_mms
0,10
0.01,10
0.02,10
0.03,10
0.04,10
0.05,10
0.06,10
0.07,10
0.08,10
0.09,10
0.1,10.01
0.11,10.01
0.12,10.01
0.13,10.01
0.14,10.01
0.15,10.01
0.16,10.01
0.17,10.02
0.18,10.02
0.19,10.02
0.2,10.02
0.21,10.02
0.22,10.03
0.23,10.03
0.24,10.03
0.25,10.03
0.26,10.04
0.27,10.04
0.28,10.04
0.29,10.05
0.3,10.05
0.31,10.05
0.32,10.06
0.33,10.06
0.34,10.06
0.35,10.07
0.36,10.07
0.37,10.08
0.38,10.08
0.39,10.08
0.4,10.09
0.41,10.09
0.42,10.1
0.43,10.1
0.44,10.11
0.45,10.11
0.46,10.12
0.47,10.12
0.48,10.13
0.49,10.13
0.5,10.14
0.51,10.14
0.52,10.15
0.53,10.16
0.54,10.16
0.55,10.17
0.56,10.17
0.57,10.18
0.58,10.19
0.59,10.19
0.6,10.2
0.61,10.21
0.62,10.21
0.63,10.22
0.64,10.23
0.65,10.24
0.66,10.24
0.67,10.25
0.68,10.26
0.69,10.27
0.7,10.27
0.71,10.28
0.72,10.29
0.73,10.3
0.74,10.31
0.75,10.32
0.76,10.33
0.77,10.33
0.78,10.34
0.79,10.35
0.8,10.36
0.81,10.37
0.82,10.38
0.83,10.39
0.84,10.4
0.85,10.41
0.86,10.42
0.87,10.43
0.88,10.44
0.89,10.45
0.9,10.46
0.91,10.47
0.92,10.48
0.93,10.49
0.94,10.5
0.95,10.51
0.96,10.53
0.97,10.54
0.98,10.55
0.99,10.56
1,10.57
1.01,10.58
1.02,10.6
1.03,10.61
1.04,10.62
1.05,10.63
1.06,10.65
1.07,10.66
1.08,10.67
1.09,10.68
1.1,10.7
1.11,10.71
1.12,10.72
1.13,10.74
1.14,10.75
1.15,10.77
1.16,10.78
1.17,10.79
1.18,10.81
1.19,10.82
1.2,10.84
1.21,10.85
1.22,10.87
1.23,10.88
1.24,10.9
1.25,10.91
1.26,10.93
1.27,10.94
1.28,10.96
1.29,10.98
1.3,10.99
1.31,11.01
1.32,11.03
1.33,11.04
1.34,11.06
1.35,11.08
1.36,11.09
1.37,11.11
1.38,11.13
1.39,11.14
1.4,11.16
1.41,11.18
1.42,11.2
1.43,11.22
1.44,11.24
1.45,11.25
1.46,11.27
1.47,11.29
1.48,11.31
1.49,11.33
1.5,11.35
1.51,11.37
1.52,11.39
1.53,11.41
1.54,11.43
1.55,11.45
1.56,11.47
1.57,11.49
1.58,11.51
1.59,11.53
1.6,11.55
1.61,11.57
1.62,11.6
1.63,11.62
1.64,11.64
1.65,11.66
1.66,11.68
1.67,11.71
1.68,11.73
1.69,11.75
1.7,11.78
1.71,11.8
1.72,11.82
1.73,11.85
1.74,11.87
1.75,11.89
1.76,11.92
1.77,11.94
1.78,11.97
1.79,11.99
1.8,12.02
1.81,12.04
1.82,12.07
1.83,12.09
1.84,12.12
1.85,12.14
1.86,12.17
1.87,12.2
1.88,12.22
1.89,12.25
1.9,12.28
1.91,12.31
1.92,12.33
1.93,12.36
1.94,12.39
1.95,12.42
1.96,12.45
1.97,12.47
1.98,12.5
1.99,12.53
2,12.56
2.01,12.59
2.02,12.62
2.03,12.65
2.04,12.68
2.05,12.71
2.06,12.74
2.07,12.78
2.08,12.81
2.09,12.84
2.1,12.87
2.11,12.9
2.12,12.93
2.13,12.97
2.14,13
2.15,13.03
2.16,13.07
2.17,13.1
2.18,13.13
2.19,13.17
2.2,13.2
2.21,13.24
2.22,13.27
2.23,13.31
2.24,13.34
2.25,13.38
2.26,13.41
2.27,13.45
2.28,13.49
2.29,13.52
2.3,13.56
2.31,13.6
2.32,13.64
2.33,13.68
2.34,13.71
2.35,13.75
2.36,13.79
2.37,13.83
2.38,13.87
2.39,13.91
2.4,13.95
2.41,13.99
2.42,14.03
2.43,14.07
2.44,14.12
2.45,14.16
2.46,14.2
2.47,14.24
2.48,14.28
2.49,14.33
2.5,14.37
2.51,14.42
2.52,14.46
2.53,14.5
2.54,14.55
2.55,14.59
2.56,14.64
2.57,14.69
2.58,14.73
2.59,14.78
2.6,14.83
2.61,14.87
2.62,14.92
2.63,14.97
2.64,15.02
2.65,15.07
2.66,15.12
2.67,15.17
2.68,15.22
2.69,15.27
2.7,15.32
2.71,15.37
2.72,15.42
2.73,15.47
2.74,15.52
2.75,15.58
2.76,15.63
2.77,15.68
2.78,15.74
2.79,15.79
2.8,15.85
2.81,15.9
2.82,15.96
2.83,16.02
2.84,16.07
2.85,16.13
2.86,16.19
2.87,16.25
2.88,16.3
2.89,16.36
2.9,16.42
2.91,16.48
2.92,16.54
2.93,16.6
2.94,16.67
2.95,16.73
2.96,16.79
2.97,16.85
2.98,16.92
2.99,16.98
3,17.05
3.01,17.11
3.02,17.18
3.03,17.24
3.04,17.31
3.05,17.38
3.06,17.44
3.07,17.51
3.08,17.58
3.09,17.65
3.1,17.72
3.11,17.79
3.12,17.86
3.13,17.93
3.14,18
3.15,18.08
3.16,18.15
3.17,18.22
3.18,18.3
3.19,18.37
3.2,18.45
3.21,18.53
3.22,18.6
3.23,18.68
3.24,18.76
3.25,18.84
3.26,18.92
3.27,19
3.28,19.08
3.29,19.16
3.3,19.24
3.31,19.33
3.32,19.41
3.33,19.49
3.34,19.58
3.35,19.66
3.36,19.75
3.37,19.84
3.38,19.93
3.39,20.02
3.4,20.1
3.41,20.19
3.42,20.29
3.43,20.38
3.44,20.47
3.45,20.56
3.46,20.66
3.47,20.75
3.48,20.85
3.49,20.94
3.5,21.04
3.51,21.14
3.52,21.24
3.53,21.34
3.54,21.44
3.55,21.54
3.56,21.64
3.57,21.74
3.58,21.85
3.59,21.95
3.6,22.06
3.61,22.17
3.62,22.27
3.63,22.38
3.64,22.49
3.65,22.6
3.66,22.71
3.67,22.83
3.68,22.94
3.69,23.05
3.7,23.17
3.71,23.29
3.72,23.4
3.73,23.52
3.74,23.64
3.75,23.76
3.76,23.88
3.77,24
3.78,24.13
3.79,24.25
3.8,24.38
3.81,24.51
3.82,24.63
3.83,24.76
3.84,24.89
3.85,25.02
3.86,25.16
3.87,25.29
3.88,25.43
3.89,25.56
3.9,25.7
3.91,25.84
3.92,25.98
3.93,26.12
3.94,26.26
3.95,26.4
3.96,26.55
3.97,26.69
3.98,26.84
3.99,26.99
4,27.14
4.01,27.29
4.02,27.44
4.03,27.6
4.04,27.75
4.05,27.91
4.06,28.07
4.07,28.23
4.08,28.39
4.09,28.55
4.1,28.72
4.11,28.88
4.12,29.05
4.13,29.22
4.14,29.39
4.15,29.56
4.16,29.73
4.17,29.91
4.18,30.08
4.19,30.26
4.2,30.44
4.21,30.62
4.22,30.81
4.23,30.99
4.24,31.18
4.25,31.36
4.26,31.55
4.27,31.74
4.28,31.94
4.29,32.13
4.3,32.33
4.31,32.53
4.32,32.73
4.33,32.93
4.34,33.13
4.35,33.34
4.36,33.55
4.37,33.76
4.38,33.97
4.39,34.18
4.4,34.4
4.41,34.61
4.42,34.83
4.43,35.05
4.44,35.28
4.45,35.5
4.46,35.73
4.47,35.96
4.48,36.19
4.49,36.42
4.5,36.66
4.51,36.9
4.52,37.14
4.53,37.38
4.54,37.62
4.55,37.87
4.56,38.12
4.57,38.37
4.58,38.62
4.59,38.88
4.6,39.14
4.61,39.4
4.62,39.66
4.63,39.92
4.64,40.19
4.65,40.46
4.66,40.73
4.67,41.01
4.68,41.28
4.69,41.56
4.7,41.84
4.71,42.13
4.72,42.41
4.73,42.7
4.74,42.99
4.75,43.29
4.76,43.59
4.77,43.89
4.78,44.19
4.79,44.49
4.8,44.8
4.81,45.11
4.82,45.42
4.83,45.74
4.84,46.05
4.85,46.37
4.86,46.7
4.87,47.02
4.88,47.35
4.89,47.68
4.9,48.02
4.91,48.35
4.92,48.69
4.93,49.04
4.94,49.38
4.95,49.73
4.96,50.08
4.97,50.43
4.98,50.79
4.99,51.15
5,51.51
5.01,51.87
5.02,52.24
5.03,52.61
5.04,52.98
5.05,53.36
5.06,53.74
5.07,54.12
5.08,54.5
5.09,54.89
5.1,55.28
5.11,55.67
5.12,56.07
5.13,56.46
5.14,56.86
5.15,57.27
5.16,57.67
5.17,58.08
5.18,58.49
5.19,58.9
5.2,59.32
5.21,59.74
5.22,60.16
5.23,60.58
