step,velocity_steps_per_s,time_s
1,100.0,0.01
2,100.0,0.02
3,100.0,0.03
4,100.0,0.04
5,100.0,0.05
6,100.0,0.06
7,100.0,0.07
8,100.0,0.08
9,100.0,0.09
10,100.0,0.1
11,100.0,0.11
12,100.0,0.12
13,100.0,0.13
14,100.0,0.14
15,100.0,0.15
16,100.0,0.16
17,100.0,0.17
18,100.0,0.18
19,100.0,0.19
20,100.0,0.2
21,100.0,0.21
22,100.0,0.22
23,100.0,0.23
24,100.0,0.24
25,100.0,0.25
26,100.0,0.26
27,100.0,0.27
28,100.0,0.28
29,100.0,0.29
30,100.0,0.3
31,100.0,0.31
32,100.0,0.32
33,100.0,0.33
34,100.0,0.34
35,100.0,0.35
36,100.0,0.36
37,100.0,0.37
38,100.0,0.38
39,100.0,0.39
40,100.0,0.4
41,100.0,0.41
42,100.0,0.42
43,100.0,0.43
44,100.0,0.44
45,100.0,0.45
46,100.0,0.46
47,100.0,0.47
48,100.0,0.48
49,100.0,0.49
50,100.0,0.5
51,100.0,0.51
52,100.0,0.52
53,100.0,0.53
54,100.0,0.54
55,100.0,0.55
56,100.0,0.56
57,100.0,0.57
58,100.0,0.58
59,100.0,0.59
60,100.0,0.6
61,100.0,0.61
62,100.0,0.62
63,100.0,0.63
64,100.0,0.64
65,100.0,0.65
66,100.0,0.66
67,100.0,0.67
68,100.0,0.68
69,100.0,0.69
70,100.0,0.7
71,100.0,0.71
72,100.0,0.72
73,100.0,0.73
74,100.0,0.74
75,100.0,0.75
76,100.0,0.76
77,100.0,0.77
78,100.0,0.78
79,100.0,0.79
80,100.0,0.8
81,100.0,0.81
82,100.0,0.82
83,100.0,0.83
84,100.0,0.84
85,100.0,0.85
86,100.0,0.86
87,100.0,0.87
88,100.0,0.88
89,100.0,0.89
90,100.0,0.9
91,100.0,0.91
92,100.0,0.92
93,100.0,0.93
94,100.0,0.94
95,100.0,0.95
96,100.0,0.96
97,100.0,0.97
98,100.0,0.98
99,100.0,0.99
100,100.0,1.0
101,100.0,1.01
102,100.0,1.02
103,100.0,1.03
104,100.0,1.04
105,100.0,1.05
106,100.0,1.06
107,100.0,1.07
108,100.0,1.08
109,100.0,1.09
110,100.0,1.1
111,100.0,1.11
112,100.0,1.12
113,100.0,1.13
114,100.0,1.14
115,100.0,1.15
116,100.0,1.16
117,100.0,1.17
118,100.0,1.18
119,100.0,1.19
120,100.0,1.2
121,100.0,1.21
122,100.0,1.22
123,100.0,1.23
124,100.0,1.24
125,100.0,1.25
126,100.0,1.26
127,100.0,1.27
128,100.0,1.28
129,100.0,1.29
130,100.0,1.3
131,100.0,1.31
132,100.0,1.32
133,100.0,1.33
134,100.0,1.34
135,100.0,1.35
136,100.0,1.36
137,100.0,1.37
138,100.0,1.38
139,100.0,1.39
140,100.0,1.4
141,100.0,1.41
142,100.0,1.42
143,100.0,1.43
144,100.0,1.44
145,100.0,1.45
146,100.0,1.46
147,100.0,1.47
148,100.0,1.48
149,100.0,1.49
150,100.0,1.5
151,100.0,1.51
152,100.0,1.52
153,100.0,1.53
154,100.0,1.54
155,100.0,1.55
156,100.0,1.56
157,100.0,1.57
158,100.0,1.58
159,100.0,1.59
160,100.0,1.6
161,100.0,1.61
162,100.0,1.62
163,100.0,1.63
164,100.0,1.64
165,100.0,1.65
166,100.0,1.66
167,100.0,1.67
168,100.0,1.68
169,100.0,1.69
170,100.0,1.7
171,100.0,1.71
172,100.0,1.72
173,100.0,1.73
174,100.0,1.74
175,100.0,1.75
176,100.0,1.76
177,100.0,1.77
178,100.0,1.78
179,100.0,1.79
180,100.0,1.8
181,100.0,1.81
182,100.0,1.82
183,100.0,1.83
184,100.0,1.84
185,100.0,1.85
186,100.0,1.86
187,100.0,1.87
188,100.0,1.88
189,100.0,1.89
190,100.0,1.9
191,100.0,1.91
192,100.0,1.92
193,100.0,1.93
194,100.0,1.94
195,100.0,1.95
196,100.0,1.96
197,100.0,1.97
198,100.0,1.98
199,100.0,1.99
200,100.0,2.0
201,100.0,2.01
202,100.0,2.02
203,100.0,2.03
204,100.0,2.04
205,100.1577,2.049984
206,101.1028,2.059875
207,102.0518,2.069674
208,103.0048,2.079382
209,103.9617,2.089001
210,104.9225,2.098532
211,105.8872,2.107976
212,106.8558,2.117335
213,107.8283,2.126609
214,108.8046,2.135799
215,109.7848,2.144908
216,110.7688,2.153936
217,111.7567,2.162884
218,112.7485,2.171753
219,113.744,2.180545
220,114.7434,2.18926
221,115.7465,2.1979
222,116.7535,2.206465
223,117.7642,2.214956
224,118.7787,2.223375
225,119.797,2.231723
226,120.819,2.239999
227,121.8448,2.248207
228,122.8743,2.256345
229,123.9075,2.264416
230,124.9445,2.272419
231,125.9851,2.280357
232,127.0294,2.288229
233,128.0774,2.296037
234,129.1291,2.303781
235,130.1845,2.311462
236,131.2434,2.319082
237,132.3061,2.32664
238,133.3723,2.334138
239,134.4422,2.341576
240,135.5157,2.348955
241,136.5928,2.356276
242,137.6734,2.36354
243,138.7577,2.370746
244,139.8455,2.377897
245,140.9369,2.384993
246,142.0318,2.392033
247,143.1302,2.39902
248,144.2322,2.405953
249,145.3376,2.412834
250,146.4466,2.419662
251,147.5591,2.426439
252,148.675,2.433165
253,149.7944,2.439841
254,150.9173,2.446467
255,152.0436,2.453044
256,153.1733,2.459573
257,154.3065,2.466053
258,155.4431,2.472486
259,156.5831,2.478873
260,157.7264,2.485213
261,158.8732,2.491507
262,160.0233,2.497756
263,161.1768,2.503961
264,162.3336,2.510121
265,163.4937,2.516237
266,164.6572,2.522311
267,165.824,2.528341
268,166.9941,2.534329
269,168.1674,2.540276
270,169.3441,2.546181
271,170.524,2.552045
272,171.7071,2.557869
273,172.8935,2.563653
274,174.0831,2.569397
275,175.276,2.575103
276,176.472,2.580769
277,177.6713,2.586398
278,178.8737,2.591988
279,180.0793,2.597541
280,181.288,2.603057
281,182.4999,2.608537
282,183.7149,2.61398
283,184.9331,2.619387
284,186.1543,2.624759
285,187.3787,2.630096
286,188.6061,2.635398
287,189.8366,2.640666
288,191.0702,2.645899
289,192.3068,2.651099
290,193.5465,2.656266
291,194.7892,2.6614
292,196.0349,2.666501
293,197.2835,2.67157
294,198.5352,2.676607
295,199.7899,2.681612
296,201.0475,2.686586
297,202.3081,2.691529
298,203.5716,2.696441
299,204.838,2.701323
300,206.1074,2.706175
301,207.3796,2.710997
302,208.6548,2.71579
303,209.9328,2.720553
304,211.2136,2.725288
305,212.4974,2.729994
306,213.7839,2.734671
307,215.0733,2.739321
308,216.3655,2.743943
309,217.6605,2.748537
310,218.9583,2.753104
311,220.2589,2.757644
312,221.5622,2.762158
313,222.8683,2.766644
314,224.1771,2.771105
315,225.4886,2.77554
316,226.8028,2.779949
317,228.1198,2.784333
318,229.4394,2.788691
319,230.7617,2.793025
320,232.0866,2.797333
321,233.4142,2.801618
322,234.7444,2.805878
323,236.0772,2.810114
324,237.4127,2.814326
325,238.7507,2.818514
326,240.0913,2.822679
327,241.4345,2.826821
328,242.7802,2.83094
329,244.1285,2.835036
330,245.4793,2.83911
331,246.8326,2.843161
332,248.1884,2.84719
333,249.5467,2.851198
334,250.9074,2.855183
335,252.2707,2.859147
336,253.6363,2.86309
337,255.0044,2.867011
338,256.3749,2.870912
339,257.7479,2.874792
340,259.1232,2.878651
341,260.5008,2.88249
342,261.8809,2.886308
343,263.2633,2.890107
344,264.648,2.893885
345,266.0351,2.897644
346,267.4245,2.901384
347,268.8161,2.905104
348,270.2101,2.908804
349,271.6063,2.912486
350,273.0048,2.916149
351,274.4055,2.919793
352,275.8084,2.923419
353,277.2135,2.927026
354,278.6209,2.930615
355,280.0304,2.934187
356,281.4421,2.93774
357,282.856,2.941275
358,284.272,2.944793
359,285.6901,2.948293
360,287.1104,2.951776
361,288.5327,2.955242
362,289.9571,2.958691
363,291.3836,2.962123
364,292.8122,2.965538
365,294.2428,2.968936
366,295.6755,2.972318
367,297.1101,2.975684
368,298.5468,2.979034
369,299.9854,2.982367
370,301.4261,2.985685
371,302.8686,2.988986
372,304.3132,2.992273
373,305.7596,2.995543
374,307.208,2.998798
375,308.6583,3.002038
376,310.1105,3.005263
377,311.5645,3.008472
378,313.0204,3.011667
379,314.4781,3.014847
380,315.9377,3.018012
381,317.3991,3.021163
382,318.8623,3.024299
383,320.3273,3.027421
384,321.7941,3.030528
385,323.2626,3.033622
386,324.7328,3.036701
387,326.2048,3.039767
388,327.6785,3.042818
389,329.1539,3.045857
390,330.631,3.048881
391,332.1098,3.051892
392,333.5902,3.05489
393,335.0723,3.057874
394,336.556,3.060846
395,338.0413,3.063804
396,339.5282,3.066749
397,341.0167,3.069681
398,342.5067,3.072601
399,343.9984,3.075508
400,345.4915,3.078402
401,346.9862,3.081284
402,348.4824,3.084154
403,349.98,3.087011
404,351.4792,3.089856
405,352.9798,3.092689
406,354.4819,3.09551
407,355.9854,3.09832
408,357.4904,3.101117
409,358.9967,3.103902
410,360.5044,3.106676
411,362.0136,3.109439
412,363.524,3.112189
413,365.0359,3.114929
414,366.549,3.117657
415,368.0635,3.120374
416,369.5792,3.12308
417,371.0963,3.125774
418,372.6146,3.128458
419,374.1342,3.131131
420,375.6551,3.133793
421,377.1771,3.136444
422,378.7004,3.139085
423,380.2249,3.141715
424,381.7505,3.144335
425,383.2773,3.146944
426,384.8053,3.149542
427,386.3344,3.152131
428,387.8646,3.154709
429,389.396,3.157277
430,390.9284,3.159835
431,392.4619,3.162383
432,393.9964,3.164921
433,395.5321,3.167449
434,397.0687,3.169968
435,398.6064,3.172477
436,400.145,3.174976
437,401.6847,3.177465
438,403.2253,3.179945
439,404.7668,3.182416
440,406.3093,3.184877
441,407.8528,3.187329
442,409.3971,3.189771
443,410.9424,3.192205
444,412.4885,3.194629
445,414.0354,3.197044
446,415.5833,3.199451
447,417.1319,3.201848
448,418.6814,3.204236
449,420.2317,3.206616
450,421.7828,3.208987
451,423.3346,3.211349
452,424.8872,3.213703
453,426.4405,3.216048
454,427.9946,3.218384
455,429.5494,3.220712
456,431.1049,3.223032
457,432.661,3.225343
458,434.2178,3.227646
459,435.7753,3.229941
460,437.3334,3.232227
461,438.8921,3.234506
462,440.4514,3.236776
463,442.0113,3.239039
464,443.5718,3.241293
465,445.1328,3.24354
466,446.6944,3.245778
467,448.2565,3.248009
468,449.8191,3.250232
469,451.3823,3.252448
470,452.9458,3.254655
471,454.5099,3.256856
472,456.0744,3.259048
473,457.6393,3.261233
474,459.2047,3.263411
475,460.7705,3.265581
476,462.3366,3.267744
477,463.9031,3.2699
478,465.47,3.272048
479,467.0372,3.274189
480,468.6047,3.276323
481,470.1726,3.27845
482,471.7407,3.28057
483,473.3092,3.282683
484,474.8778,3.284789
485,476.4468,3.286888
486,478.0159,3.28898
487,479.5853,3.291065
488,481.1549,3.293143
489,482.7247,3.295215
490,484.2946,3.297279
491,485.8647,3.299338
492,487.435,3.301389
493,489.0053,3.303434
494,490.5758,3.305473
495,492.1463,3.307505
496,493.717,3.30953
497,495.2877,3.311549
498,496.8584,3.313562
499,498.4292,3.315568
500,500.0,3.317568
501,501.5708,3.319562
502,503.1416,3.321549
503,504.7123,3.323531
504,506.283,3.325506
505,507.8537,3.327475
506,509.4242,3.329438
507,510.9947,3.331395
508,512.565,3.333346
509,514.1353,3.335291
510,515.7054,3.33723
511,517.2753,3.339163
512,518.8451,3.34109
